alpha_1,alpha_2,alpha_3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.6,0.05,0.35,1.4494430279684185,1.1471654895972498,0.09072985133020352,0.01575666731872718,82.63,0.394116973551362,0.8986906374132471,20033.33333333332,5,1509,113592.0,20
0.6,0.15,0.25,1.485972093642233,1.1328116052681794,0.09072985133020352,0.01057800273865415,88.34,0.40723909722197604,0.917822542310431,19782.666666666653,6,1477,114885.0,21
0.55,0.1,0.35,1.5139054857125527,1.1507921359037965,0.09072985133020352,0.01008113262910798,88.89,0.40066189217111137,0.9332781529429374,20096.666666666646,7,1495,114407.0,22
0.8,0.15,0.05,1.5127638399879657,1.1480435197556773,0.09072985133020352,0.010387601069379238,88.55,0.440147711120476,0.9365533394140264,20048.66666666666,6,1466,123244.0,23
0.75,0.0,0.25,1.5414762550947774,1.168849016987972,0.09072985133020352,0.026947329812206575,70.3,0.39882330500670893,0.9542209205958591,20411.999999999967,5,1592,121271.0,24
0.55,0.15,0.3,1.5597807058253292,1.1531208245848426,0.09072985133020352,0.007825003260302558,91.38,0.40799018280655,0.9586819486919191,20137.333333333314,8,1489,116032.0,25
0.7,0.0,0.3,1.5833220653035454,1.1626264554304238,0.09072985133020352,0.020341956833594157,77.58,0.3955037743122712,0.9746114231697767,20303.333333333314,5,1589,120035.0,26
0.65,0.15,0.2,1.595263859396753,1.1598396640580244,0.09072985133020352,0.010990104981742306,87.89,0.41532933110118253,0.9802170704757563,20254.66666666665,7,1473,116850.0,27
0.65,0.2,0.15,1.6035688714054008,1.1477381179614414,0.09072985133020352,0.007341174360980699,91.91,0.42289224334167996,0.9838413618135049,20043.33333333332,8,1472,118897.0,28
0.7,0.2,0.1,1.6069904754576427,1.145065852261881,0.09072985133020352,0.006996886411058947,92.29,0.43024602696566744,0.986221722734682,19996.666666666664,7,1469,120718.0,29
0.6,0.2,0.2,1.6430875805379384,1.1502576827638842,0.09072985133020352,0.005780141497130935,93.63,0.4172492924620892,1.0046700251294087,20087.333333333314,9,1467,116912.0,30
0.45,0.1,0.45,1.6637857960694173,1.1190303493033011,0.09072985133020352,0.010133297470005215,88.83,0.3938293694998329,1.0134566314943294,19541.999999999996,10,1504,113133.0,31
0.45,0.2,0.35,1.6683355536815987,1.1326970795953406,0.09072985133020352,0.007512014214919143,91.72,0.4066755702685999,1.017140569795982,19780.666666666646,9,1474,114493.0,32
0.55,0.2,0.25,1.6700102453018095,1.1451040274861601,0.09072985133020352,0.008550094548774125,90.58,0.41289429858071874,1.0196152945130075,19997.333333333325,8,1487,117269.0,33
0.5,0.1,0.4,1.6784801654178354,1.132887955716739,0.09072985133020352,0.011659119066249344,87.15,0.40051319951926395,1.0233575444374476,19784.0,8,1516,115971.0,34
0.55,0.05,0.4,1.6776502324564309,1.1486161481198678,0.09072985133020352,0.011998190532081376,86.78,0.39881366703991766,1.0236192591206466,20058.66666666664,8,1557,118602.0,35
0.45,0.15,0.4,1.6943916183142842,1.1376598587516689,0.09072985133020352,0.007890209311424099,91.3,0.4016424590440804,1.0313296917082753,19867.333333333325,10,1488,114150.0,36
0.5,0.15,0.35,1.7034003831395748,1.1471654895972494,0.09072985133020352,0.008715717918622846,90.39,0.4029096042221918,1.037134161004435,20033.333333333314,10,1491,114741.0,37
0.5,0.25,0.25,1.7146650858689318,1.1388814659286108,0.09072985133020352,0.00577622913406364,93.63,0.4127506499982192,1.0430178042643843,19888.666666666657,10,1470,115888.0,38
0.9,0.1,0.0,1.6907789222477192,1.1677419354838698,0.09072985133020352,0.029549051251956178,67.43,0.508516000086898,1.0480318193947158,20392.666666666664,6,1446,140445.0,39
0.65,0.0,0.35,1.7461678878379967,1.1676655850353095,0.09072985133020352,0.02674910341679709,70.52,0.39276037051953283,1.0660763856396562,20391.333333333303,9,1625,121903.0,40
0.75,0.2,0.05,1.7652380248500084,1.1819812941401013,0.09072985133020352,0.005871429968701094,93.53,0.440741539429634,1.0758155613080835,20641.333333333318,8,1481,124673.0,41
0.65,0.25,0.1,1.8097449054008976,1.1577018514983755,0.09072985133020352,0.005910553599374023,93.49,0.4275337783654514,1.0977713344617699,20217.33333333331,11,1469,119957.0,42
0.55,0.25,0.2,1.813677987650076,1.1493033021568986,0.09072985133020352,0.007427246348461138,91.81,0.41809717362908017,1.0990259495828332,20070.666666666653,10,1471,117469.0,43
0.45,0.05,0.5,1.838195306235873,1.1619011261691152,0.09072985133020352,0.010690157146583203,88.22,0.3927225458319827,1.111581776465359,20290.666666666664,10,1599,119941.0,44
0.5,0.05,0.45,1.8414310790253083,1.1635808360374098,0.09072985133020352,0.013503146191966613,85.12,0.3955799371994701,1.114575072843327,20319.99999999998,10,1569,118547.0,45
0.3,0.2,0.5,1.8575125302911315,1.1414773811796137,0.09072985133020352,0.005151555164319248,94.32,0.3997109007033827,1.1202223173387371,19934.000000000004,13,1514,115586.0,46
0.4,0.15,0.45,1.8598795319447061,1.137850734873067,0.09072985133020352,0.008117126369327073,91.05,0.3992659720651928,1.122188014430559,19870.666666666675,12,1505,114771.0,47
0.4,0.25,0.35,1.8702625307160177,1.1428898644779526,0.09072985133020352,0.005216761215440793,94.25,0.4072322240598916,1.1280771358883288,19958.66666666666,11,1491,115972.0,48
0.7,0.25,0.05,1.8711181823468956,1.1571673983584636,0.09072985133020352,0.005072003781950967,94.41,0.44235516962499466,1.1327304883058007,20207.999999999985,10,1476,124707.0,49
0.35,0.05,0.6,1.8852160803830826,1.1736209200229033,0.09072985133020352,0.01118050665101721,87.68,0.3849333886268208,1.1373973810698277,20495.333333333318,13,1616,118812.0,50
0.35,0.15,0.5,1.8880231785659078,1.1532735254819606,0.09072985133020352,0.00605791927490871,93.32,0.398027598306784,1.1376965600984985,20139.99999999999,12,1504,114339.0,51
0.6,0.0,0.4,1.886789026047527,1.2030158427180715,0.09072985133020352,0.022303354851330212,75.42,0.3898636713906533,1.1435621300565082,21008.666666666606,10,1651,122940.0,52
0.6,0.3,0.1,1.897119984885897,1.147470891391485,0.09072985133020352,0.003934810250391237,95.66,0.43272304769779635,1.1452422841017147,20038.66666666665,11,1469,121413.0,53
0.45,0.25,0.3,1.9026601652615067,1.1710631799961797,0.09072985133020352,0.005727976656233697,93.69,0.41315410028837807,1.1480500529193456,20450.666666666635,12,1496,118053.0,54
0.55,0.0,0.45,1.9263551101542444,1.1910288222943293,0.09072985133020352,0.01663825312989045,81.66,0.3890433467867898,1.1629425623171972,20799.33333333332,12,1676,124539.0,55
0.35,0.2,0.45,1.9341481251669033,1.14304256537507,0.09072985133020352,0.007972368935837245,91.21,0.4019165981423848,1.16351696760554,19961.33333333332,12,1509,115840.0,56
0.55,0.3,0.15,1.9651420148883572,1.1657949990456171,0.09072985133020352,0.004071742957746478,95.51,0.4251710015200135,1.1828564811802025,20358.666666666642,13,1488,120837.0,57
0.35,0.25,0.4,1.9735664903790886,1.1561748425271983,0.09072985133020352,0.006841696009389671,92.46,0.40699990912840156,1.186022811550516,20190.666666666653,14,1498,116450.0,58
0.5,0.3,0.2,1.9776753816247603,1.1532735254819608,0.09072985133020352,0.004987235915492959,94.5,0.42032633008043047,1.1889139399504072,20139.999999999993,13,1477,118577.0,59
0.45,0.3,0.25,1.9841637687578293,1.154189730864667,0.09072985133020352,0.004935071074595724,94.56,0.4158242469206994,1.1920625053744882,20155.99999999998,14,1489,118260.0,60
0.4,0.2,0.4,1.9980707920550205,1.1570146974613456,0.09072985133020352,0.004863344418362024,94.64,0.4058203667369643,1.1988307105025335,20205.333333333314,12,1497,116035.0,61
0.4,0.1,0.5,1.9985226786893813,1.1558312655086829,0.09072985133020352,0.008663553077725613,90.45,0.39608394539290676,1.1991864970172024,20184.666666666646,12,1549,117185.0,62
0.5,0.2,0.3,2.0006788785970864,1.1775911433479636,0.09072985133020352,0.006841696009389672,92.46,0.41074098023264705,1.2023795472218772,20564.66666666662,11,1506,118148.0,63
0.3,0.25,0.45,2.010101387675093,1.1543424317617847,0.09072985133020352,0.0057501467136150215,93.66,0.4045442519772753,1.2054523540212025,20158.66666666665,16,1504,116211.0,64
0.6,0.25,0.15,2.04357445807869,1.1780874212635988,0.09072985133020352,0.00515416340636411,94.32,0.4268170619032953,1.2270982782186983,20573.33333333333,11,1496,121957.0,65
0.4,0.05,0.55,2.051032541125895,1.1865241458293552,0.09072985133020352,0.009867256781429315,89.12,0.38988671352292364,1.2293429532974314,20720.666666666653,12,1612,120043.0,66
0.3,0.1,0.6,2.0564003425331654,1.165336896354265,0.09072985133020352,0.009406902060511212,89.63,0.3900490548846913,1.231114009317577,20350.666666666664,13,1586,118156.0,67
0.25,0.25,0.5,2.0626815032344803,1.1366673029204024,0.09072985133020352,0.003805702269170578,95.81,0.4025600121806473,1.2327059038238004,19849.999999999975,18,1513,116333.0,68
0.25,0.15,0.6,2.078515186819725,1.1587325825539208,0.09072985133020352,0.005596260432968179,93.83,0.3952162842925111,1.2423204884376866,20235.333333333318,12,1534,115796.0,69
0.4,0.3,0.3,2.0767991647860273,1.1701087993891948,0.09072985133020352,0.0048177001825769426,94.69,0.4192361193633396,1.244113902592882,20433.999999999985,13,1498,119951.0,70
0.25,0.2,0.55,2.0821692994450998,1.1575109753769788,0.09072985133020352,0.007277272430881584,91.98,0.4015225253839612,1.2454040977313146,20213.99999999999,18,1533,117567.0,71
0.2,0.2,0.6,2.090033397551589,1.151326589043709,0.09072985133020352,0.004466891627543036,95.08,0.39917593481830294,1.2483423590756528,20105.999999999985,15,1521,115965.0,72
0.3,0.15,0.55,2.0941933084669375,1.1542279060889475,0.09072985133020352,0.0076202562597809075,91.6,0.3986963588304554,1.251673427722243,20156.666666666668,14,1543,117501.0,73
0.35,0.1,0.55,2.092504003191312,1.1728955907615928,0.09072985133020352,0.010238931272822115,88.71,0.3932272065625736,1.2519163813314054,20482.66666666663,14,1579,118593.0,74
