alpha_1,alpha_2,alpha_3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.35,0.2,0.45,0.0,0.9759380583680771,0.06032531668938882,0.034465515649852306,0.4014780652843669,0.09928436414179624,16386.00000000006,0,1108,84964.0,26
0.45,0.15,0.4,0.0,0.9851895969823308,0.06032531668938882,0.03384917845376051,0.39924894885947115,0.09933912827119182,16541.333333333376,0,1107,84416.0,27
0.2,0.25,0.55,0.0,1.006154457018066,0.06032531668938882,0.03056441362758463,0.3989510295450761,0.09937214989368631,16893.333333333372,0,1132,86258.0,28
0.15,0.25,0.6,0.0,1.021719277347627,0.06032531668938882,0.02869978058963871,0.39795557890541494,0.09949145593481445,17154.6666666667,0,1156,87867.0,29
0.4,0.2,0.4,0.0,0.9937661306333132,0.06032531668938882,0.03227141203703703,0.40183602075254066,0.09955333221803084,16685.333333333372,0,1103,84656.0,30
0.3,0.25,0.45,0.0,0.9691483025610493,0.06032531668938882,0.03522386602476709,0.40538108866066214,0.09956268380154881,16272.00000000006,0,1094,84706.0,31
0.35,0.25,0.4,0.0,0.9855072463768123,0.06032531668938882,0.03285934659736424,0.40519769728269883,0.09965293602631978,16546.666666666722,0,1105,85519.0,32
0.25,0.25,0.5,0.0,1.0073456422473697,0.06032531668938882,0.0299509166950693,0.40340105454022696,0.09969266257491197,16913.33333333338,0,1129,86989.0,33
0.5,0.2,0.3,0.0,0.9575540996624977,0.06032531668938882,0.03750175741308795,0.4061559454568329,0.09974382675273456,16077.333333333378,0,1082,83937.0,34
0.75,0.05,0.2,0.0,0.9604129442128256,0.06032531668938882,0.038213243438991136,0.4031267230400648,0.0997972925463451,16125.333333333385,0,1073,82618.0,35
0.85,0.0,0.15,0.0,0.9802660313678785,0.06032531668938882,0.035840203220858895,0.40059875736697154,0.09982523827134875,16458.666666666722,0,1114,85237.0,36
0.2,0.35,0.45,0.0,0.9914234663490171,0.06032531668938882,0.03090524525675982,0.4098423754515649,0.0998269844396353,16646.00000000004,0,1129,88378.0,37
0.4,0.15,0.45,0.0,1.0284296208060342,0.06032531668938882,0.029480853073165184,0.39774819590065413,0.10004055655231668,17267.333333333358,0,1163,88353.0,38
0.05,0.35,0.6,0.0,0.994560254119515,0.06032531668938882,0.0334273993126562,0.4028520499108734,0.10004143749085995,16698.6666666667,0,1122,86332.0,39
0.6,0.15,0.25,0.0,0.9594997022036933,0.06032531668938882,0.03873869220063623,0.40495198653562126,0.10009179142393766,16110.000000000053,0,1067,82528.0,40
0.45,0.25,0.3,0.0,0.9653762160015887,0.06032531668938882,0.036286124602363114,0.4095554568111126,0.10011019386189964,16208.666666666717,0,1084,84796.0,41
0.0,0.35,0.65,0.0,1.004486797697042,0.06032531668938882,0.03210667674960236,0.4029648802870757,0.10015283093844038,16865.33333333338,0,1157,89050.0,42
0.15,0.3,0.55,0.0,0.9995632320825887,0.06032531668938882,0.03273863539536469,0.40377861930479275,0.10017761415321812,16782.666666666708,0,1142,88073.0,43
0.1,0.4,0.5,0.0,0.9821322215604529,0.06032531668938882,0.033110709923880925,0.4114597379409112,0.10018579784927804,16490.000000000047,0,1126,88491.0,44
0.65,0.15,0.2,0.0,0.9583085169743897,0.06032531668938882,0.03740802871506477,0.41048581517107025,0.10018641598034594,16090.000000000044,0,1075,84283.0,45
0.05,0.5,0.45,0.0,0.9922175898352193,0.06032531668938882,0.030420980316973403,0.41535469360666616,0.10027264294751961,16659.333333333376,0,1136,90122.0,46
0.0,0.4,0.6,0.0,1.0197339686321216,0.06032531668938882,0.02912297986253124,0.40620335421260784,0.10034392781162624,17121.333333333365,0,1161,90076.0,47
0.05,0.4,0.55,0.0,0.9817351598173512,0.06032531668938882,0.03500658586116792,0.4079065588499551,0.10037938963421345,16483.33333333337,0,1113,86714.0,48
0.25,0.35,0.4,0.0,0.974429223744293,0.06032531668938882,0.0352764109009316,0.4115579662852364,0.10046018108601779,16360.66666666672,0,1083,85132.0,49
0.15,0.35,0.5,0.0,0.9829263450466558,0.06032531668938882,0.035405642893660536,0.40696682848281873,0.10046469296871283,16503.333333333394,0,1099,85426.0,50
0.55,0.15,0.3,0.0,0.9801866190192581,0.06032531668938882,0.035919730600999775,0.406817422301437,0.10046699236140655,16457.333333333387,0,1081,83996.0,51
0.5,0.25,0.25,0.0,0.9738336311296408,0.06032531668938882,0.036676660844126345,0.4078956963059108,0.10048424944031104,16350.666666666712,0,1077,83907.0,52
0.05,0.45,0.5,0.0,0.9713321421481048,0.06032531668938882,0.03643807870370371,0.4100013183170741,0.10049816255022377,16308.666666666722,0,1112,87081.0,53
0.7,0.1,0.2,0.0,0.9444907683144731,0.06032531668938882,0.04063456813792322,0.41089162401893853,0.10050407125899449,15858.000000000044,0,1066,83660.0,54
0.1,0.6,0.3,0.0,0.9648600357355571,0.06032531668938882,0.03572091215064758,0.4156107401892502,0.10052034945089716,16200.000000000045,0,1090,86526.0,55
0.3,0.4,0.3,0.0,0.9695056581298391,0.06032531668938882,0.0358544045387412,0.41356913648756244,0.10058851791687057,16278.000000000042,0,1085,85706.0,56
0.35,0.35,0.3,0.0,0.9727615644232684,0.06032531668938882,0.03550079172347193,0.41307128178843955,0.10059544391704897,16332.666666666719,0,1093,86234.0,57
0.25,0.45,0.3,0.0,0.9681556482032962,0.06032531668938882,0.03485889215519201,0.41756792907096724,0.10062224296381914,16255.333333333387,0,1096,87412.0,58
0.25,0.3,0.45,0.0,0.9948779035139966,0.06032531668938882,0.03533179604067258,0.4032593865517258,0.10066937264307418,16704.000000000047,0,1109,85418.0,59
0.55,0.3,0.15,0.0,0.9670835814969233,0.06032531668938882,0.03482054859690979,0.41982356738148174,0.10078270039206728,16237.333333333385,0,1095,87804.0,60
0.1,0.75,0.15,0.0,0.9494143339289266,0.06032531668938882,0.03852851269597819,0.4175368204726721,0.100782952552507,15940.666666666719,0,1070,85332.0,61
0.0,0.45,0.55,0.0,0.9994044073853484,0.06032531668938882,0.033123491109975006,0.40892856322024,0.10080012402428393,16780.000000000044,0,1139,88962.0,62
0.4,0.3,0.3,0.0,0.9804248560651183,0.06032531668938882,0.035395701971142925,0.4119961090607387,0.10083956430067267,16461.33333333338,0,1098,86403.0,63
0.3,0.35,0.35,0.0,0.9885249156243799,0.06032531668938882,0.03423261403658259,0.411491450756067,0.10084517506780048,16597.333333333383,0,1091,85747.0,64
0.1,0.45,0.45,0.0,0.9774071868175509,0.06032531668938882,0.03603618140763463,0.4122268098771738,0.10090389475088532,16410.666666666722,0,1107,87160.0,65
0.45,0.3,0.25,0.0,0.9694659519555299,0.06032531668938882,0.03724755382299478,0.41271503365744205,0.10091906711041913,16277.333333333389,0,1085,85529.0,66
0.35,0.5,0.15,0.0,0.968632122295017,0.06032531668938882,0.036554529510338565,0.4152441251674175,0.10092237748459418,16263.33333333338,0,1075,85260.0,67
0.15,0.55,0.3,0.0,0.988802858844551,0.06032531668938882,0.03253413641785958,0.4172481372428354,0.10092519759186896,16602.000000000055,0,1106,88142.0,68
