p1_a1,p1_a2,p1_a3,p2_a1,p2_a2,p2_a3,p3_a1,p3_a2,p3_a3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.4,0.3,0.3,0.6,0.2,0.2,0.7,0.15,0.15,0.16739590657729797,0.990036266463067,0.060289316018805196,0.008009707172342624,86.71,0.4059339737258432,0.18456587146495437,17289.333333333372,2,1198,92885.0,26
0.4,0.3,0.3,0.55,0.2,0.25,0.85,0.05,0.1,0.16331490891837683,0.9719793853788898,0.060289316018805196,0.021255034543056984,64.74,0.40655413182610095,0.18545409271957894,16974.000000000025,2,1169,90775.0,27
0.4,0.3,0.3,0.6,0.2,0.2,0.8,0.1,0.1,0.1698990367954124,0.990341668257302,0.060289316018805196,0.01320119897374154,78.1,0.4115779596060582,0.18807970930307022,17294.666666666697,2,1194,93862.0,28
0.45,0.25,0.3,0.65,0.15,0.2,0.75,0.1,0.15,0.1755082755599294,0.9951135712922331,0.060289316018805196,0.010047890866873063,83.33,0.4031764700719292,0.18961724438982766,17378.000000000044,2,1193,91869.0,29
0.5,0.25,0.25,0.6,0.2,0.2,0.7,0.15,0.15,0.17799120669274707,1.005268180950564,0.060289316018805196,0.008927033167067996,85.19,0.4079038134993632,0.19162706402859583,17555.33333333336,2,1184,92245.0,30
0.45,0.25,0.3,0.65,0.15,0.2,0.7,0.15,0.15,0.18816862684515478,0.9966787554876894,0.060289316018805196,0.0070049485437449835,88.38,0.40508388364159365,0.1959365554665025,17405.33333333336,2,1194,92381.0,31
0.45,0.25,0.3,0.65,0.15,0.2,0.8,0.1,0.1,0.2085186077604649,0.9992364955144118,0.060289316018805196,0.014114225002866644,76.59,0.4090882983188636,0.2097901563767227,17450.000000000025,2,1185,92591.0,32
0.45,0.25,0.3,0.6,0.2,0.2,0.75,0.1,0.15,0.29790739299457797,1.0111089902653183,0.060289316018805196,0.01099961658640064,81.76,0.4051669095856873,0.2582210915947727,17657.333333333354,2,1189,92013.0,33
0.4,0.3,0.3,0.65,0.15,0.2,0.7,0.15,0.15,0.38097000687534693,1.0190494369154424,0.060289316018805196,0.008769367761724569,85.45,0.40577676096616655,0.303694462052347,17796.000000000022,2,1190,92229.0,34
0.45,0.25,0.3,0.6,0.2,0.2,0.7,0.15,0.15,0.23111172096340568,0.996411528917733,0.060289316018805196,0.009172131206283683,84.79,0.408182888799693,0.22050195121761418,17400.66666666669,3,1187,92542.0,35
0.35,0.35,0.3,0.55,0.2,0.25,0.85,0.05,0.1,0.44847729499770145,0.9772857415537324,0.060289316018805196,0.01597467678591905,73.5,0.4115174311598735,0.3414709454781855,17066.666666666693,5,1172,92119.0,36
0.35,0.35,0.3,0.6,0.2,0.2,0.8,0.1,0.1,0.45437284326122,0.991066997518612,0.060289316018805196,0.011409546640293543,81.08,0.4111503213361897,0.3439963097953087,17307.333333333376,6,1178,92508.0,37
