alpha_1,alpha_2,alpha_3,tardiness_index,initial_fragmentation_index,final_fragmentation_index,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.25,0.1,0.65,2.371480748,0.052799697,0.026848576,0.711073965,1.502050418,19962,20,1982,143782,55
0.6,0.35,0.05,2.377963333,0.052799697,0.050743588,0.776498994,1.519650976,19726.66667,22,1774,140537,56
0.15,0.05,0.8,2.441834573,0.052799697,0.021213695,0.70703869,1.542168721,20108,19,2007,144769,57
0.2,0.05,0.75,2.445052985,0.052799697,0.021130194,0.713252303,1.544696079,19952,21,2000,145532,58
0.65,0.25,0.1,2.425456973,0.052799697,0.047737576,0.768172624,1.546412719,19268,23,1822,142791,59
0.45,0.15,0.4,2.445434755,0.052799697,0.03255304,0.725387779,1.549565543,19668,25,1916,141793,60
0.7,0.15,0.15,2.468903573,0.052799697,0.041487576,0.751665312,1.568954948,19630,26,1857,142406,61
0.65,0.15,0.2,2.512450338,0.052799697,0.033375518,0.743472262,1.591830085,20020.66667,26,1904,144418,62
0.4,0.15,0.45,2.533309697,0.052799697,0.025191094,0.723141814,1.599857328,20041.33333,23,1966,145042,63
0.45,0.5,0.05,2.523328409,0.052799697,0.050142385,0.77179145,1.606218906,19610.66667,22,1792,141102,64
0.5,0.15,0.35,2.551828737,0.052799697,0.028561724,0.732169786,1.612882738,19684,26,1937,144687,65
0.05,0.1,0.85,2.567594801,0.052799697,0.016921778,0.710815969,1.616715011,20168.66667,22,2034,147500,66
0.3,0.1,0.6,2.575981318,0.052799697,0.023255278,0.71791694,1.624357068,20449.33333,23,2001,146557,67
0.4,0.1,0.5,2.581214392,0.052799697,0.027806046,0.716976678,1.628768117,20222.66667,22,1993,145780,68
0.55,0.15,0.3,2.583150511,0.052799697,0.027897896,0.73472321,1.631731996,20016,23,1930,144667,69
0.6,0.15,0.25,2.583174748,0.052799697,0.034712915,0.734549762,1.633773699,19844.66667,26,1928,144483,70
0.05,0.05,0.9,2.595116111,0.052799697,0.020207516,0.711848933,1.634316815,19992,20,2040,148150,71
0.3,0.15,0.55,2.642618863,0.052799697,0.026072023,0.715663595,1.664959284,19934.66667,24,2000,146024,72
0.15,0.1,0.75,2.685994202,0.052799697,0.024506391,0.711316576,1.690080096,20223.33333,24,2027,147096,73
0.1,0.1,0.8,2.744937507,0.052799697,0.025107594,0.713255624,1.725820344,20446.66667,22,2035,148079,74
0.55,0.4,0.05,2.722804429,0.052799697,0.050505612,0.779930555,1.726827397,19607.33333,24,1801,143306,75
0.35,0.6,0.05,2.727369514,0.052799697,0.048939981,0.769703305,1.728074033,19448,25,1819,142840,76
0.35,0.15,0.5,2.779518632,0.052799697,0.03412563,0.716961923,1.74964506,19999.33333,22,1993,145777,77
0.6,0.3,0.1,2.76943125,0.052799697,0.044192987,0.768580991,1.751774745,20218.66667,26,1845,144670,78
0.65,0.2,0.15,2.785076812,0.052799697,0.037216534,0.762631546,1.758474202,20062,27,1874,145806,79
0.5,0.45,0.05,2.809153691,0.052799697,0.049240582,0.784290151,1.778693404,19778.66667,25,1818,145467,80
0.3,0.65,0.05,2.823998817,0.052799697,0.049240582,0.767835648,1.78595503,19708.66667,23,1824,142885,81
0.4,0.55,0.05,2.827896834,0.052799697,0.049541183,0.772727764,1.788873232,19934,24,1815,143086,82
0.2,0.15,0.65,2.86010471,0.052799697,0.022570575,0.712520014,1.794086,20550,22,2008,145964,83
0.55,0.35,0.1,2.849199941,0.052799697,0.046535171,0.76821871,1.800302387,19623.33333,24,1826,143113,84
0.5,0.2,0.3,2.894672187,0.052799697,0.033461802,0.735276618,1.820369514,20109.33333,27,1911,143351,85
0.25,0.7,0.05,2.95041966,0.052799697,0.045395391,0.765377828,1.860408196,20035.33333,25,1844,143989,86
0.6,0.2,0.2,2.987409823,0.052799697,0.035780328,0.749494773,1.878129469,19808,29,1911,146123,87
0.1,0.15,0.75,3.007960513,0.052799697,0.02128467,0.717894605,1.88295117,20462,25,2039,149335,88
0.15,0.15,0.7,3.024768704,0.052799697,0.021794022,0.717844989,1.893183928,20568,25,2045,149764,89
0.45,0.2,0.35,3.051729353,0.052799697,0.030603307,0.733558746,1.913574479,20170.66667,29,1951,146009,90
0.6,0.25,0.15,3.064301591,0.052799697,0.038851749,0.760664339,1.926302913,19821.33333,28,1898,147292,91
0.25,0.2,0.55,3.107165941,0.052799697,0.021437754,0.730403471,1.943771238,20240.66667,26,1979,147467,92
0.35,0.2,0.45,3.107507475,0.052799697,0.028568683,0.727058812,1.945780971,20212,27,1962,145531,93
0,0.05,0.95,3.121263198,0.052799697,0.01992779,0.709418272,1.949678083,20531.33333,24,2084,150828,94
0.55,0.3,0.15,3.106479542,0.052799697,0.03998457,0.762461403,1.952129236,19872,30,1911,148651,95
0.05,0.15,0.8,3.136647791,0.052799697,0.022570575,0.715711839,1.960331031,20726.66667,25,2060,150414,96
0.3,0.2,0.5,3.147144169,0.052799697,0.025793688,0.726528422,1.96867745,20220,28,1973,146240,97
0.2,0.2,0.6,3.201272083,0.052799697,0.025408195,0.727869175,2.001172626,20394.66667,27,1990,147772,98
0.5,0.4,0.1,3.219989441,0.052799697,0.04382976,0.763151848,2.021457778,19979.33333,29,1877,146139,99
0.2,0.75,0.05,3.296240638,0.052799697,0.04299754,0.761356101,2.066779255,20013.33333,29,1892,146960,100
0.05,0.2,0.75,3.320101546,0.052799697,0.025639212,0.716588238,2.071411515,20321.33333,28,2058,150452,101
0.3,0.25,0.45,3.320974002,0.052799697,0.023088277,0.730651631,2.072576048,20315.33333,29,1994,148635,102
0.4,0.2,0.4,3.320800529,0.052799697,0.02796748,0.7297658,2.073847142,20144.66667,30,1983,147636,103
0.2,0.25,0.55,3.357590021,0.052799697,0.024975385,0.728187384,2.094865367,20331.33333,29,1966,146054,104
0.1,0.2,0.7,3.400603454,0.052799697,0.022332599,0.72063931,2.119125783,20462,26,2049,150641,105
0.55,0.2,0.25,3.391354394,0.052799697,0.033440927,0.745351396,2.119380054,19916,31,1942,147672,106
0.55,0.25,0.2,3.409079965,0.052799697,0.035174951,0.749671584,2.130967623,20034.66667,31,1940,148375,107
0.5,0.35,0.15,3.428566875,0.052799697,0.040823748,0.756336014,2.145020851,20186.66667,30,1933,149154,108
0.4,0.5,0.1,3.433780495,0.052799697,0.037279159,0.757396268,2.147191672,20246.66667,29,1913,147818,109
0.35,0.55,0.1,3.502870751,0.052799697,0.035713528,0.760190315,2.18845554,20438.66667,29,1918,148751,110
0.15,0.25,0.6,3.520633705,0.052799697,0.02503801,0.725112156,2.192402842,20165.33333,31,1997,147730,111
0.45,0.25,0.3,3.529933736,0.052799697,0.027597295,0.743712329,2.200610663,20233.33333,32,1958,148561,112
0.45,0.45,0.1,3.538203822,0.052799697,0.04509479,0.762842963,2.212735027,20120.66667,30,1892,147247,113
0.25,0.65,0.1,3.551331012,0.052799697,0.034511123,0.756148393,2.216766784,20164,31,1933,149117,114
0.25,0.25,0.5,3.581830893,0.052799697,0.024975385,0.73110388,2.229701539,20307.33333,32,1994,148727,115
0.9,0.1,0,3.552628855,0.052799697,0.046535171,0.941854258,2.23972329,21107.33333,29,1726,165853,116
0.15,0.2,0.65,3.626112621,0.052799697,0.021437754,0.730554425,2.255154341,20584,28,2071,154353,117
0.3,0.6,0.1,3.639312344,0.052799697,0.038782165,0.762609408,2.271482997,20109.33333,30,1915,148991,118
0.45,0.4,0.15,3.64932115,0.052799697,0.032707516,0.754425294,2.274847474,20403.33333,29,1937,149085,119
0,0.15,0.85,3.667303076,0.052799697,0.024806992,0.707093747,2.278533318,20837.33333,26,2110,152209,120
0.5,0.25,0.25,3.672154718,0.052799697,0.029463528,0.751805888,2.287312478,20125.33333,33,1973,151328,121
0.4,0.25,0.35,3.699327658,0.052799697,0.024353307,0.744200705,2.301322658,19922.66667,33,1975,149949,122
0,0.2,0.8,3.743857776,0.052799697,0.018278658,0.715471193,2.323345382,20898.66667,28,2125,155107,123
0.1,0.3,0.6,3.760627063,0.052799697,0.021067569,0.728455538,2.335542062,20361.33333,31,2013,149600,124
0.5,0.3,0.2,3.752561023,0.052799697,0.036146338,0.755183767,2.337898892,20229.33333,32,1941,149543,125
0.3,0.55,0.15,3.760332335,0.052799697,0.034811724,0.755173808,2.342160299,20152.66667,32,1940,149464,126
0.45,0.35,0.2,3.763613672,0.052799697,0.037586719,0.752889925,2.344733211,20022.66667,31,1935,148628,127
0.85,0.15,0,3.736738465,0.052799697,0.049541183,0.943634553,2.351268889,20812.66667,31,1732,166744,128
0.15,0.8,0.05,3.774703279,0.052799697,0.034874349,0.762603572,2.351544629,20333.33333,31,1933,150390,129
0.2,0.3,0.5,3.799440253,0.052799697,0.030742475,0.726350616,2.361521956,20287.33333,30,1982,146871,130
0.4,0.35,0.25,3.830830405,0.052799697,0.032476498,0.748108043,2.383051997,20126,32,1948,148676,131
0.05,0.3,0.65,3.844914411,0.052799697,0.02128467,0.728107827,2.38614483,20810.66667,31,2037,151311,132
0.45,0.3,0.25,3.839023624,0.052799697,0.030603307,0.750329059,2.387628072,20418.66667,31,1966,150495,133
0.4,0.45,0.15,3.887792088,0.052799697,0.033609319,0.757278576,2.418485906,20172,32,1950,150653,134
0.1,0.25,0.65,3.902282785,0.052799697,0.023171778,0.727699756,2.42109118,20431.33333,31,2045,151820,135
0.35,0.3,0.35,3.907591647,0.052799697,0.027897896,0.740368725,2.42696123,20343.33333,32,1981,149630,136
0.05,0.25,0.7,3.926053786,0.052799697,0.016558551,0.729449814,2.433544818,21091.33333,32,2067,153822,137
0.35,0.25,0.4,3.934892414,0.052799697,0.029602695,0.745113806,2.444327637,20415.33333,31,1987,151045,138
0,0.1,0.9,3.971889854,0.052799697,0.024157082,0.715129014,2.461893938,20709.33333,27,2157,157367,139
0.35,0.4,0.25,3.965182264,0.052799697,0.026094289,0.751972289,2.462134874,20319.33333,32,1978,151745,140
0.3,0.5,0.2,3.982007975,0.052799697,0.030603307,0.751083847,2.473494162,20262,31,1967,150723,141
0.1,0.35,0.55,4.002152786,0.052799697,0.021948498,0.732597042,2.481135925,20450.66667,32,2004,149778,142
0.3,0.3,0.4,4.004976019,0.052799697,0.026527099,0.739881099,2.484931851,20319.33333,31,1995,150588,143
0.25,0.55,0.2,4.008487514,0.052799697,0.03006473,0.751476802,2.489259607,20191.33333,32,1958,150112,144
0.15,0.3,0.55,4.028552446,0.052799697,0.024290682,0.730252745,2.497443947,20701.33333,31,2019,150416,145
0.25,0.6,0.15,4.033770002,0.052799697,0.029701504,0.75009425,2.504181877,20197.33333,33,1976,151213,146
0.05,0.35,0.6,4.125135272,0.052799697,0.020082265,0.727220725,2.553827915,20444,31,2022,150014,147
0.75,0.25,0,4.077657553,0.052799697,0.048338778,0.936607662,2.554756931,21225.33333,30,1752,167413,148
0.25,0.35,0.4,4.121112762,0.052799697,0.028869284,0.737618812,2.555090323,20414.66667,33,1980,148999,149
0.4,0.4,0.2,4.121427263,0.052799697,0.031505111,0.756672722,2.557975163,20375.33333,33,1964,151613,150
0.35,0.5,0.15,4.140004327,0.052799697,0.032770141,0.759210025,2.569754641,20414,33,1954,151347,151
0.1,0.85,0.05,4.174613566,0.052799697,0.033308718,0.758365476,2.590597303,20374,34,1972,152571,152
0.25,0.3,0.45,4.18391531,0.052799697,0.025408195,0.738747304,2.591846375,20346.66667,33,2000,150734,153
0.15,0.7,0.15,4.181006316,0.052799697,0.030966534,0.748283032,2.592722053,20251.33333,33,1961,149703,154
0.1,0.65,0.25,4.189535336,0.052799697,0.02368948,0.74735987,2.595564033,20207.33333,35,2003,152720,155
0.2,0.65,0.15,4.189830864,0.052799697,0.030903909,0.754320314,2.598601723,20572,34,1975,151988,156
0,0.3,0.7,4.198511312,0.052799697,0.025493087,0.726163165,2.59937103,20354,33,2068,153203,157
0.8,0.2,0,4.153123658,0.052799697,0.048038177,0.942049093,2.600490557,21839.33333,30,1745,167713,158
0.2,0.6,0.2,4.192721352,0.052799697,0.033378302,0.751572013,2.600803503,20068,34,1961,150361,159
