alpha_1,alpha_2,alpha_3,w_s1,w_s2,margin_sec,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.45,0.2,0.35,0.3,0.7,1200.0,0.0,1.0133809807425052,0.06032531668938882,0.00633128479322881,89.5,0.39522256945853684,0.09209069142094758,17014.666666666704,0,1161,87641.0,0
0.45,0.2,0.35,0.3,0.7,900.0,0.0,1.0142545165773271,0.06032531668938882,0.008222900335151103,86.37,0.39495362557484726,0.09267495848689641,17029.333333333365,0,1151,86827.0,1
0.45,0.2,0.35,0.3,0.7,1500.0,0.00738010729761695,1.0154457018066312,0.06032531668938882,0.0071762632072256295,88.1,0.3985140261870218,0.09683562568489076,17049.333333333383,1,1162,88447.0,2
0.45,0.2,0.35,0.3,0.7,2400.0,0.00738010729761695,1.0256104824300174,0.06032531668938882,0.006278739917064303,89.59,0.39843963803909427,0.09706716891421892,17220.000000000036,1,1167,88811.0,3
0.45,0.2,0.35,0.3,0.7,1800.0,0.00738010729761695,1.0256104824300174,0.06032531668938882,0.006278739917064303,89.59,0.39843963803909427,0.09706716891421892,17220.000000000036,1,1167,88811.0,4
0.45,0.2,0.35,0.3,0.7,3000.0,0.00738010729761695,1.0256104824300174,0.06032531668938882,0.006278739917064303,89.59,0.39843963803909427,0.09706716891421892,17220.000000000036,1,1167,88811.0,5
0.45,0.2,0.35,0.3,0.7,600.0,0.019076147060834363,1.0312487591820523,0.06032531668938882,0.007308335463531015,87.89,0.3993291604177705,0.10417973552339788,17314.666666666704,1,1166,88933.0,6
0.45,0.2,0.35,0.3,0.7,300.0,0.03957677511183861,1.0329561246773864,0.06032531668938882,0.006838271841626902,88.66,0.4008840956829796,0.1155549236661666,17343.33333333336,2,1169,89509.0,7
0.45,0.2,0.35,0.3,0.7,0.0,0.03957677511183861,1.0329561246773864,0.06032531668938882,0.006838271841626902,88.66,0.4008840956829796,0.1155549236661666,17343.33333333336,2,1169,89509.0,8
0.45,0.2,0.35,0.3,0.7,3600.0,0.04099975649745128,1.0310105221361918,0.06032531668938882,0.0063994511190638495,89.39,0.3993435151778206,0.11595457903390902,17310.666666666704,2,1158,88326.0,9
