alpha_1,alpha_2,alpha_3,w_s1,w_s2,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.55,0.25,0.2,0.5,0.5,0.0,1.0076632916418502,0.06032531668938882,0.0067161405078391264,88.87,0.40409825981162767,0.09280783271560702,16918.666666666708,0,1149,88683.0,0
0.55,0.25,0.2,0.1,0.9,0.0,0.9977367480643244,0.06032531668938882,0.007599462480118157,87.4,0.41135015353739945,0.09330169150099163,16752.00000000005,0,1127,88546.0,1
0.65,0.15,0.2,0.5,0.5,0.0,1.004248560651181,0.06032531668938882,0.011311686974551236,81.25,0.4012948560324543,0.09373541972816986,16861.333333333376,0,1137,87148.0,2
0.65,0.15,0.2,0.2,0.8,0.0,0.9907881675600562,0.06032531668938882,0.012640930328334467,79.05,0.40520188444211336,0.09385187592071449,16635.333333333387,0,1118,86526.0,3
0.55,0.25,0.2,0.2,0.8,0.0,1.0182648401826475,0.06032531668938882,0.008068105970234036,86.63,0.40697003943999815,0.0940306777442024,17096.666666666697,0,1135,88225.0,4
0.65,0.15,0.2,0.3,0.7,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,5
0.55,0.25,0.2,0.4,0.6,0.0,1.0211633909072855,0.06032531668938882,0.00665649497273347,88.97,0.4106987991612024,0.09412499795330456,17145.33333333337,0,1141,89504.0,6
0.65,0.15,0.2,0.7,0.3,0.0,1.0194560254119516,0.06032531668938882,0.009694156867757328,83.93,0.4025786353220818,0.09413891186313297,17116.66666666671,0,1163,89426.0,7
0.55,0.25,0.2,0.3,0.7,0.0,1.0274766726225921,0.06032531668938882,0.006727501562144967,88.85,0.40774248323648765,0.09416633242342187,17251.333333333365,0,1147,89327.0,8
0.65,0.15,0.2,0.1,0.9,0.0,0.9869763748262863,0.06032531668938882,0.013233125284026355,78.06,0.40879203811140985,0.09419796013766321,16571.33333333339,0,1110,86668.0,9
0.65,0.15,0.2,0.0,1.0,0.0,0.9885646217986908,0.06032531668938882,0.013539873750284028,77.56,0.40750041458387626,0.09424023467340738,16598.000000000062,0,1105,86005.0,10
0.65,0.15,0.2,0.4,0.6,0.0,1.0027397260273974,0.06032531668938882,0.012344122784594411,79.54,0.4069981926925155,0.09454004240599975,16836.000000000047,0,1124,87376.0,11
0.65,0.15,0.2,0.6,0.4,0.0,1.0201310303752225,0.06032531668938882,0.012730398630992953,78.9,0.3995339037160005,0.09477906147965906,17128.00000000003,0,1148,87605.0,12
0.65,0.15,0.2,0.8,0.2,0.0014803851704348683,1.0203295612467733,0.06032531668938882,0.010446826715519199,82.68,0.40048562106381363,0.09501330002711497,17131.33333333337,1,1173,89726.0,13
0.55,0.25,0.2,0.0,1.0,0.0,1.0200913242009122,0.06032531668938882,0.010452507242672118,82.67,0.4118079935504132,0.09532111773788857,17127.33333333336,0,1117,87858.0,14
0.55,0.25,0.2,0.7,0.3,0.10335851298715476,1.0177883660909264,0.06032531668938882,0.006792827624403544,88.74,0.40467515877728,0.15024196461253053,17088.666666666697,2,1164,89969.0,15
0.55,0.25,0.2,0.6,0.4,0.1592171884485482,1.037125272979947,0.06032531668938882,0.005825717876618948,90.34,0.4041205216823675,0.1815854848269213,17413.333333333354,3,1171,90386.0,16
0.65,0.15,0.2,0.9,0.1,0.1751974752466302,1.0456621004566198,0.06032531668938882,0.012017492473301524,80.08,0.39773489013998115,0.1920204531644662,17556.666666666693,3,1195,90781.0,17
0.65,0.15,0.2,1.0,0.0,0.2609387474762985,1.0516577327774461,0.06032531668938882,0.012335601993865028,79.55,0.39698587505050764,0.23949846585404677,17657.333333333365,3,1218,92354.0,18
0.55,0.25,0.2,0.8,0.2,0.45601738727099944,1.0383164582092503,0.06032531668938882,0.00661957154623949,89.03,0.4025679591737717,0.3449680532907613,17433.333333333358,5,1187,91269.0,19
0.15,0.65,0.2,0.0,1.0,0.6095642631149516,1.0484812388326374,0.06032531668938882,0.00527044634742104,91.26,0.4191624832739127,0.43118178888647285,17604.00000000003,8,1166,93350.0,20
0.15,0.65,0.2,0.1,0.9,0.6193810303203441,1.029223744292237,0.06032531668938882,0.004628546779141103,92.33,0.41457831271433104,0.43496714919597657,17280.666666666704,6,1171,92725.0,21
0.15,0.65,0.2,0.2,0.8,0.8622646620205278,1.0395076434385544,0.06032531668938882,0.0034881809531924555,94.22,0.41621710060846184,0.5688891106300219,17453.333333333372,8,1184,94125.0,22
0.55,0.25,0.2,1.0,0.0,0.8814692169321405,1.049156243795909,0.06032531668938882,0.00859497486366735,85.75,0.4017761067705564,0.5800219846386286,17615.333333333358,10,1231,94466.0,23
0.55,0.25,0.2,0.9,0.1,0.9482199694461209,1.056978360135,0.06032531668938882,0.0077599373721881386,87.14,0.4033386829435134,0.6170317507081243,17746.666666666697,11,1194,91983.0,24
0.15,0.65,0.2,0.3,0.7,1.1354560099724793,1.0417311891999195,0.06032531668938882,0.0036869994035446485,93.89,0.4153780591744795,0.7192312706833709,17490.666666666693,9,1204,95522.0,25
0.15,0.65,0.2,0.4,0.6,1.3681681057046717,1.054635695850703,0.06032531668938882,0.0031814324869347877,94.73,0.41716728627723393,0.8478954013039084,17707.33333333335,10,1221,97288.0,26
0.15,0.65,0.2,0.6,0.4,1.5743095548999204,1.059797498511017,0.06032531668938882,0.003865936008861622,93.59,0.4135530216356684,0.9613752130867325,17794.000000000022,12,1231,97235.0,27
0.15,0.65,0.2,0.5,0.5,1.595639446255633,1.0627754615842748,0.06032531668938882,0.0028746840206771186,95.23,0.4151475009987594,0.9731176238258911,17844.000000000022,14,1245,98720.0,28
0.15,0.65,0.2,0.7,0.3,1.8481631401593608,1.0760373238038496,0.06032531668938882,0.0033731502783458304,94.41,0.41365425017507584,1.1126689633788522,18066.666666666682,14,1256,99234.0,29
0.15,0.65,0.2,0.8,0.2,1.894338341924017,1.0772285090331524,0.06032531668938882,0.003623093473074301,93.99,0.41143592005926466,1.1379780335577159,18086.666666666675,15,1258,98859.0,30
0.15,0.65,0.2,0.9,0.1,1.9816143078623356,1.0751637879690281,0.06032531668938882,0.0038659360088616214,93.59,0.4123866883689275,1.1860445083622873,18052.00000000003,16,1277,100584.0,31
0.15,0.65,0.2,1.0,0.0,2.16735914372596,1.0924359737939233,0.06032531668938882,0.003929841939331969,93.49,0.4035741195108286,1.2882056922718566,18342.000000000022,19,1355,104447.0,32
