alpha_1,alpha_2,alpha_3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.2,0.05,0.75,0.0,1.0397785836991802,0.060289316018805196,0.0059500236498108,90.13,0.3881349830566838,0.09258743458557063,18158.00000000003,0,1338,99191.0,42
0.3,0.3,0.4,0.0,1.0174460774957061,0.060289316018805196,0.0048664323185414506,91.93,0.402776286459161,0.09260986221626386,17768.00000000003,0,1219,93778.0,43
0.25,0.3,0.45,0.0,1.0245848444359615,0.060289316018805196,0.003768507768604517,93.75,0.40250867292561027,0.09261066184494046,17892.66666666669,0,1233,94792.0,44
0.2,0.2,0.6,0.0,1.0337087230387485,0.060289316018805196,0.004096738476092189,93.2,0.3970317715313096,0.09261763484789604,18052.000000000025,0,1258,95398.0,45
0.35,0.15,0.5,0.0,1.0192021378125604,0.060289316018805196,0.006412986612773764,89.36,0.39734088743877044,0.0926180916183372,17798.666666666693,0,1242,94258.0,46
0.25,0.25,0.5,0.0,1.0235159381561374,0.060289316018805196,0.003977772761151243,93.4,0.40250225380607535,0.09261935411675978,17874.000000000025,0,1237,95098.0,47
0.15,0.25,0.6,0.0,1.0345104027486163,0.060289316018805196,0.0035492095229904814,94.11,0.39830722430312687,0.09262100542464065,18066.000000000015,0,1265,96237.0,48
0.2,0.5,0.3,0.0,1.0131322771521285,0.060289316018805196,0.0034703768203187702,94.24,0.4095643307936863,0.0926541599830707,17692.666666666682,0,1217,95202.0,49
0.25,0.35,0.4,0.0,1.024966596678756,0.060289316018805196,0.0031536126877651643,94.77,0.4046244985381111,0.09265686349407848,17899.333333333358,0,1232,95213.0,50
0.45,0.05,0.5,0.0,1.0234395877075793,0.060289316018805196,0.007353245757367273,87.8,0.392813654384663,0.09265931855105544,17872.666666666704,0,1277,95810.0,51
0.35,0.35,0.3,0.0,1.0110708150410392,0.060289316018805196,0.003405877336314643,94.35,0.4109003519011244,0.0926653391430588,17656.666666666697,0,1220,95748.0,52
0.55,0.05,0.4,0.0,1.003588471082269,0.060289316018805196,0.009510395166838664,84.23,0.3965242004439521,0.09268496214856026,17526.000000000036,0,1243,94140.0,53
0.35,0.25,0.4,0.0,1.0171025004771916,0.060289316018805196,0.005057064126820317,91.61,0.4032441881389191,0.09269666307579759,17762.000000000036,0,1222,94118.0,54
0.2,0.35,0.45,0.0,1.0212635999236506,0.060289316018805196,0.004225737444100447,92.99,0.40381108026940393,0.09271200925635306,17834.666666666697,0,1243,95870.0,55
0.15,0.5,0.35,0.0,1.0177133040656616,0.060289316018805196,0.0029945139605549826,95.03,0.4098509408321583,0.0927691134746654,17772.666666666686,0,1229,96208.0,56
0.65,0.1,0.25,0.0,0.9878602786791381,0.060289316018805196,0.010679985810113517,82.29,0.4018236465880445,0.09277937433579542,17251.33333333336,0,1188,91177.0,57
0.1,0.55,0.35,0.0,1.0189730864668838,0.060289316018805196,0.0023036528207774328,96.18,0.4115343433576987,0.09279318450534729,17794.666666666693,0,1242,97625.0,58
0.1,0.25,0.65,0.0,1.0386715021950752,0.060289316018805196,0.0036208756163284015,93.99,0.3978323056644889,0.09280306836110117,18138.66666666668,0,1283,97490.0,59
0.2,0.3,0.5,0.0,1.0310746325634668,0.060289316018805196,0.003865973655544089,93.59,0.40105973632750896,0.09281949735758746,18006.000000000022,0,1245,95370.0,60
0.45,0.25,0.3,0.0,1.010803588471083,0.060289316018805196,0.006071856008485264,89.93,0.4046155050355708,0.09282328672965681,17652.00000000003,0,1204,93047.0,61
0.7,0.1,0.2,0.0,0.9723229623974052,0.060289316018805196,0.01267373652677445,78.98,0.4042151033809566,0.09283977941599826,16980.000000000033,0,1180,91102.0,62
0.0,0.4,0.6,0.0,1.028096965069671,0.060289316018805196,0.003603675753927301,94.02,0.4035387965820562,0.09283983063786735,17954.000000000033,0,1291,99505.0,63
0.35,0.3,0.35,0.0,1.0159190685245283,0.060289316018805196,0.004271603743836716,92.91,0.4077112387202625,0.09284855842140369,17741.333333333358,0,1219,94927.0,64
0.15,0.4,0.45,0.0,1.0292803970223328,0.060289316018805196,0.003470376820318769,94.24,0.4034636165413219,0.09285149455134446,17974.666666666686,0,1251,96404.0,65
0.3,0.35,0.35,0.0,1.011872494750907,0.060289316018805196,0.004232904053434239,92.98,0.40993860966155726,0.09285735691973135,17670.666666666686,0,1217,95289.0,66
0.5,0.1,0.4,0.0,1.0078259209772864,0.060289316018805196,0.00851280314757482,85.88,0.39922002843288423,0.0928671398364252,17600.000000000025,0,1219,92950.0,67
0.05,0.5,0.45,0.0,1.0259973277343017,0.060289316018805196,0.002303652820777433,96.18,0.4088327687095781,0.09287423910390613,17917.33333333337,0,1275,99561.0,68
0.1,0.5,0.4,0.0,1.0231723611376229,0.060289316018805196,0.0021674872434353848,96.4,0.41151664113398767,0.09296052834331053,17868.000000000033,0,1244,97778.0,69
0.35,0.45,0.2,0.0,0.9996182477572065,0.060289316018805196,0.004218570834766654,93.0,0.41716717154914285,0.09296320079320461,17456.666666666697,0,1196,95296.0,70
0.35,0.05,0.6,0.0,1.0165298721129994,0.060289316018805196,0.010264322468753582,82.97,0.3906202174788562,0.09296781209416168,17752.000000000025,0,1300,96991.0,71
0.05,0.25,0.7,0.0,1.0332506203473946,0.060289316018805196,0.004089571866758397,93.22,0.40080126765280033,0.09296952934267728,18044.000000000015,0,1282,98141.0,72
0.1,0.35,0.55,0.0,1.0313418591334238,0.060289316018805196,0.003556376132324273,94.1,0.40360062459814455,0.09299406825618294,18010.666666666704,0,1254,96668.0,73
0.05,0.4,0.55,0.0,1.0315709104790998,0.060289316018805196,0.0034703768203187702,94.24,0.4042463831938804,0.09304429688943866,18014.666666666693,0,1284,99139.0,74
0.55,0.25,0.2,0.0,1.0090093529299495,0.060289316018805196,0.004013605807820204,93.34,0.41402613401381494,0.09305716279022504,17620.6666666667,0,1190,94104.0,75
0.5,0.05,0.45,0.0,1.0148119870204237,0.060289316018805196,0.009316896714826281,84.55,0.39528795811518325,0.09306446417698741,17722.000000000015,0,1270,95885.0,76
0.25,0.5,0.25,0.0,1.012865050582173,0.060289316018805196,0.0029844807074876738,95.05,0.41530300344572657,0.09306889708592761,17688.00000000003,0,1211,96060.0,77
0.1,0.45,0.45,0.0,1.025577400267227,0.060289316018805196,0.0035420429136566903,94.12,0.40744534655301784,0.09308601754276015,17910.000000000022,0,1242,96655.0,78
0.55,0.1,0.35,0.0,1.0145447604504678,0.060289316018805196,0.008603102425180599,85.73,0.39812570620250654,0.09312073937032822,17717.33333333335,0,1214,92315.0,79
0.05,0.65,0.3,0.0,1.016720748234397,0.060289316018805196,0.0027350827026717114,95.46,0.41512498088819283,0.09316906031134065,17755.333333333365,0,1267,100459.0,80
0.15,0.35,0.5,0.0,1.0377552968123678,0.060289316018805196,0.003405877336314641,94.35,0.4028348465769766,0.09319301269921045,18122.666666666664,0,1264,97254.0,81
0.1,0.4,0.5,0.0,1.0318763122733348,0.060289316018805196,0.0029228478672170617,95.15,0.4073683461607677,0.09320750458990863,18020.00000000002,0,1251,97337.0,82
0.4,0.05,0.55,0.0,1.0177133040656619,0.060289316018805196,0.011730610738447425,80.54,0.3891932321251693,0.09332417163733425,17772.66666666669,0,1295,96265.0,83
0.2,0.45,0.35,0.0,1.023477762931858,0.060289316018805196,0.00409673847609219,93.2,0.4096078640880436,0.09336369609822492,17873.33333333336,0,1225,95838.0,84
0.65,0.25,0.1,0.0,1.003664821530827,0.060289316018805196,0.004685833763329894,92.23,0.4178846407673017,0.0933774552822705,17527.333333333358,0,1190,94981.0,85
0.0,0.55,0.45,0.0,1.0315327352548196,0.060289316018805196,0.003008847179222566,95.01,0.40908358368078945,0.0933876492845867,18014.000000000015,0,1267,98997.0,86
0.0,0.5,0.5,0.0,1.038633326970797,0.060289316018805196,0.003225278781103085,94.65,0.4049732127262905,0.09339657125549983,18138.000000000033,0,1289,99704.0,87
0.15,0.65,0.2,0.0,1.0128650505821726,0.060289316018805196,0.0032897782651072124,94.54,0.4177804649008838,0.09340823249872918,17688.000000000022,0,1221,97431.0,88
