alpha_1,alpha_2,alpha_3,w_s1,w_s2,margin_sec,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.5,0.25,0.25,0.3,0.7,1200.0,0.0,1.022473694659519,0.06032531668938882,0.004628546779141103,92.33,0.4068162639396772,0.093193875160686,17167.33333333337,0,1154,89668.0,0
0.5,0.25,0.25,0.3,0.7,900.0,0.0,1.0151280524121495,0.06032531668938882,0.007903370682799364,86.9,0.4030633549150878,0.09343374931695608,17044.000000000036,0,1141,87840.0,1
0.5,0.25,0.25,0.3,0.7,600.0,0.0,1.0149692277149096,0.06032531668938882,0.00828112573846853,86.27,0.40331010452961674,0.09356380956024772,17041.333333333376,0,1148,88433.0,2
0.5,0.25,0.25,0.3,0.7,300.0,0.0,1.014691284494739,0.06032531668938882,0.00808088715632811,86.6,0.40405070267291265,0.09356390063892667,17036.666666666715,0,1140,87978.0,3
0.5,0.25,0.25,0.3,0.7,1500.0,0.03135510234735332,1.0325987691085963,0.06032531668938882,0.00610264357532379,89.88,0.4070486632553851,0.1114109041446098,17337.333333333376,1,1147,89175.0,4
0.5,0.25,0.25,0.3,0.7,0.0,0.03886452436948282,1.0334325987691082,0.06032531668938882,0.00608276173028857,89.92,0.40150239016617345,0.11502218587737488,17351.333333333372,1,1150,88190.0,5
0.5,0.25,0.25,0.3,0.7,1800.0,0.062453014646566975,1.0360929124478848,0.06032531668938882,0.006304302289252443,89.55,0.4065863147178592,0.12870372583656775,17396.000000000033,1,1152,89462.0,6
0.5,0.25,0.25,0.3,0.7,2400.0,0.062453014646566975,1.0360929124478848,0.06032531668938882,0.006304302289252443,89.55,0.4065863147178592,0.12870372583656775,17396.000000000033,1,1152,89462.0,7
0.5,0.25,0.25,0.3,0.7,3000.0,0.062453014646566975,1.0360929124478848,0.06032531668938882,0.006304302289252443,89.55,0.4065863147178592,0.12870372583656775,17396.000000000033,1,1152,89462.0,8
0.5,0.25,0.25,0.3,0.7,3600.0,0.062453014646566975,1.0360929124478848,0.06032531668938882,0.006304302289252443,89.55,0.4065863147178592,0.12870372583656775,17396.000000000033,1,1152,89462.0,9
