alpha_1,alpha_2,alpha_3,w_s1,w_s2,gamma1,gamma2,margin_sec,lambda,p,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.001,1.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,0
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.003,1.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,1
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.003,1.5,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,2
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.003,2.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,3
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.5,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,4
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,1.5,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,5
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,1.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,6
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,7
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.01,1.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,8
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,3.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,9
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.01,3.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,10
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.015,1.5,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,11
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.01,2.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,12
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.015,1.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,13
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.01,2.5,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,14
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.01,1.5,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,15
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.015,3.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,16
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.02,1.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,17
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.02,1.5,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,18
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.02,2.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,19
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.02,2.5,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,20
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.02,3.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,21
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.015,2.0,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,22
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.015,2.5,0.0,1.0001588246972406,0.06032531668938882,0.011394054618268572,81.11,0.4068537944141156,0.09411153706175418,16792.66666666671,0,1124,87345.0,23
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.001,1.5,0.0,1.0000000000000007,0.06032531668938882,0.012799985088616225,78.78,0.40504352123379317,0.09434434764996422,16790.000000000055,0,1123,86879.0,24
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.001,2.0,0.0,1.0000000000000007,0.06032531668938882,0.012799985088616225,78.78,0.40504352123379317,0.09434434764996422,16790.000000000055,0,1123,86879.0,25
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.003,2.5,0.0,1.0000000000000007,0.06032531668938882,0.012799985088616225,78.78,0.40504352123379317,0.09434434764996422,16790.000000000055,0,1123,86879.0,26
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.003,3.0,0.0,1.0000000000000007,0.06032531668938882,0.012799985088616225,78.78,0.40504352123379317,0.09434434764996422,16790.000000000055,0,1123,86879.0,27
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.001,2.5,0.0,0.9990073456422471,0.06032531668938882,0.015036692655078393,75.07,0.40307562275491277,0.09476893735412716,16773.333333333372,0,1115,85841.0,28
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.001,3.0,0.0,0.9990073456422471,0.06032531668938882,0.015036692655078393,75.07,0.40312257882750685,0.09477363296138656,16773.333333333372,0,1115,85851.0,29
