alpha_1,alpha_2,alpha_3,w_s1,w_s2,gamma1,gamma2,margin_sec,lambda,p,epsilon,beta,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.85,0.1,0.05,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.018423664879888,0.060289316018805196,0.016304340815273474,72.96,0.4265431189548435,0.09846679738406079,17099.33333333336,0,1173,95564.0,12
0.85,0.05,0.1,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,0.9878499106611078,0.060289316018805196,0.027828248624011006,53.84,0.41465602460366857,0.09920657258062555,16586.000000000044,0,1144,90604.0,13
0.7,0.1,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.00627655743393872,1.0298590430811976,0.060289316018805196,0.012113307676871913,79.91,0.4066273444230897,0.09924178548809673,17291.333333333354,1,1185,92034.0,14
0.85,0.0,0.15,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0210839785586647,0.060289316018805196,0.029144038097695224,51.66,0.4019880490745214,0.09999621526469396,17144.000000000025,0,1203,92366.0,15
0.6,0.05,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.009950330853190076,1.0302561048243,0.060289316018805196,0.012243739966746929,79.69,0.39509247297205413,0.10016785649769905,17298.00000000004,1,1232,92970.0,16
0.9,0.05,0.05,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,0.9834425253126857,0.060289316018805196,0.031170755217291596,48.3,0.43092397832405716,0.10161575066322748,16512.000000000036,0,1142,93994.0,17
0.9,0.0,0.1,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,0.9949970220369274,0.060289316018805196,0.04237646557160875,29.71,0.41179688254140445,0.10364247902746945,16706.000000000055,0,1139,89586.0,18
0.95,0.0,0.05,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0216398649990066,0.060289316018805196,0.045344875157665415,24.79,0.42800707733939103,0.10748616353118906,17153.333333333365,0,1157,94584.0,19
0.65,0.1,0.25,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.02415046023230675,1.0318046456223942,0.060289316018805196,0.011767877106983144,80.48,0.399648026749967,0.10836815121598006,17324.000000000044,1,1190,90836.0,20
0.65,0.2,0.15,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.03601043752304867,1.0331149493746268,0.060289316018805196,0.006242421310629517,89.65,0.4147201822007322,0.11480623271967019,17346.00000000003,1,1177,93232.0,21
0.45,0.3,0.25,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.056170271467059746,1.0316061147508424,0.060289316018805196,0.004556834795321637,92.44,0.4122937739855197,0.12507038288157343,17320.66666666669,3,1191,93789.0,22
0.75,0.0,0.25,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.08617769624107277,1.0388326384752826,0.060289316018805196,0.02570836558307534,57.36,0.3952603127751243,0.1465779058087892,17442.00000000004,1,1231,92934.0,23
0.5,0.2,0.3,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.09900704168568149,1.039189994044073,0.060289316018805196,0.005115830323357413,91.51,0.40236861069868807,0.1481849827962045,17448.00000000003,2,1206,92684.0,24
0.7,0.0,0.3,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.09126159127834134,1.0394282310899337,0.060289316018805196,0.024206244266712532,59.85,0.39386156573360265,0.14881331661095848,17452.000000000033,1,1270,95539.0,25
0.6,0.15,0.25,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.10669296089161648,1.041254715108198,0.060289316018805196,0.008005407206742346,86.72,0.4029513773830826,0.15344062414612994,17482.66666666669,1,1185,91202.0,26
0.6,0.1,0.3,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.12188981760904878,1.0430811991264628,0.060289316018805196,0.009530461672973282,84.19,0.39821015463289905,0.1618736136064819,17513.333333333358,1,1204,91574.0,27
0.6,0.25,0.15,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.12614305484037078,1.0435973793924949,0.060289316018805196,0.004756066534801056,92.11,0.4189319019161951,0.1648785592838885,17522.000000000033,1,1188,95059.0,28
0.45,0.25,0.3,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.13037827863313964,1.0371649791542572,0.060289316018805196,0.005757958519665173,90.45,0.4047889589105752,0.16577258565289674,17414.000000000025,2,1198,92623.0,29
0.55,0.1,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.13265137589375056,1.038991463172522,0.060289316018805196,0.008800900842793257,85.4,0.3994980745099736,0.16749790760402425,17444.666666666686,2,1210,92328.0,30
0.45,0.1,0.45,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.13815033848086533,1.040698828667858,0.060289316018805196,0.008246205280357757,86.32,0.3950813456647596,0.16999962374845212,17473.333333333383,2,1229,92741.0,31
0.55,0.3,0.15,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.14169244490524976,1.0352590827873727,0.060289316018805196,0.0038932067710124997,93.54,0.41886582555644825,0.1727483434242046,17382.000000000033,3,1186,94884.0,32
0.4,0.25,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.14393999762533688,1.0374429223744286,0.060289316018805196,0.00489366543400986,91.88,0.4046260842384934,0.17296985286670902,17418.6666666667,3,1206,93204.0,33
0.5,0.25,0.25,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.16016430769853623,1.0395870557871745,0.060289316018805196,0.004283070318770784,92.9,0.4106220311362297,0.18241684623280788,17454.666666666704,3,1208,94742.0,34
0.7,0.2,0.1,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.18816862684516675,1.0437164979154245,0.060289316018805196,0.00905029884760922,84.99,0.41670250165136474,0.2000639094800322,17524.000000000022,2,1181,93996.0,35
0.4,0.1,0.5,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.20188208264847857,1.052690093309509,0.060289316018805196,0.008064173403279437,86.62,0.3920761665549399,0.20529651879861652,17674.6666666667,2,1234,92410.0,36
0.5,0.15,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.21361683442769994,1.0424856065118115,0.060289316018805196,0.008885466832932001,85.26,0.3980007948438823,0.2120792587950934,17503.33333333336,2,1212,92134.0,37
0.55,0.15,0.3,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.2166036944738352,1.0429223744292226,0.060289316018805196,0.007811908754729963,87.04,0.40027092716327933,0.21364881602481742,17510.666666666693,2,1202,91895.0,38
0.5,0.1,0.4,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.22195766324166719,1.0448679769704179,0.060289316018805196,0.00890553333906662,85.23,0.3957461270741287,0.21656638634057068,17543.33333333336,2,1217,91990.0,39
0.65,0.25,0.1,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.23199316659122274,1.0565415922175887,0.060289316018805196,0.0055200270897832835,90.84,0.42060511054650174,0.2241398404176371,17739.33333333336,2,1189,95519.0,40
